,DE0006202005,DE0005785802,DE000KSAG888,DE000STRA555,DE0006062144,DE000TUAG505,DE000A12DM80,DE000EVNK013,DE000LEG1110,DE0005089031,DE0006095003,DE000A161408,DE0005470405,DE000A0DJ6J9,DE000A1TNUT7,DE0006200108,DE0005232805,DE000A0WMPJ6,DE000WCH8881,DE0007165607,DE0005313704,DE0007030009,DE000A3ENQ51,DE0006766504,DE0007314007,DE000BASF111,DE000A1PHFF7,FR001400PVN6,DE0007461006,DE0005773303,DE0005158703,DE000A1TNV91,DE0006602006,DE0008232125,DE0006969603,DE0005093108,Total
2025-03-16,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.57,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.590000000000001
2025-03-15,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.57,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.590000000000001
2025-03-14,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.57,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.590000000000001
2025-03-13,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.6,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.540000000000001
2025-03-12,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.36
2025-03-11,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.24
2025-03-10,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.49,0.59,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,5.970000000000001
2025-03-09,0.46,0.0,0.46,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.64,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,6.6000000000000005
2025-03-08,0.46,0.0,0.46,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.64,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,6.6000000000000005
2025-03-07,0.46,0.0,0.46,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.49,0.64,0.39,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.08,0.0,0.49,0.41,0.49,0.0,6.6000000000000005
