,IT0005495657,FR0010220475,FR0000121147,FR0000130395,DE000FTG1111,DE000A161408,DE000A2YN900,DE000A0D6554,DE000A0LD6E6,DE000ZAL1111,DE000TUAG505,DE0008303504,DE0005664809,DE0007500001,DE000A1PHFF7,DE0005470405,DE0005313704,DE000A0WMPJ6,Total
2025-03-10,0.0,0.0,0.89,0.59,0.0,0.88,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.65
2025-03-09,0.0,0.0,0.89,0.59,0.0,0.92,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.6899999999999995
2025-03-08,0.0,0.0,0.89,0.59,0.0,0.92,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.6899999999999995
2025-03-07,0.0,0.0,0.89,0.59,0.0,0.92,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.6899999999999995
2025-03-06,0.0,0.0,0.89,0.6,0.0,0.89,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.67
2025-03-05,0.0,0.0,0.89,0.6,0.0,0.89,0.0,0.0,0.69,0.0,0.0,0.0,1.52,0.0,0.58,0.5,0.0,0.0,5.67
2025-03-04,0.0,0.0,0.89,0.6,0.0,0.91,0.0,0.0,0.77,0.0,0.0,0.0,1.44,0.0,0.58,0.5,0.0,0.0,5.6899999999999995
2025-03-03,0.0,0.0,0.89,0.6,0.0,0.91,0.0,0.5,0.77,0.0,0.0,0.0,1.44,0.0,0.58,0.5,0.0,0.0,6.1899999999999995
2025-03-02,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.3,0.0,0.58,0.5,0.0,0.0,6.0200000000000005
2025-03-01,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.3,0.0,0.58,0.5,0.0,0.0,6.0200000000000005
2025-02-28,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.3,0.0,0.58,0.5,0.0,0.0,6.0200000000000005
2025-02-27,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.3,0.0,0.58,0.5,0.0,0.0,6.0200000000000005
2025-02-26,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.92
2025-02-25,0.0,0.0,0.89,0.6,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.92
2025-02-24,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.83
2025-02-23,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.83
2025-02-22,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.83
2025-02-21,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.83
2025-02-20,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.2,0.0,0.58,0.5,0.0,0.0,5.83
2025-02-19,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.74
2025-02-18,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.74
2025-02-17,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.74
2025-02-16,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.74
2025-02-15,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.5,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.74
2025-02-14,0.0,0.0,0.89,0.51,0.0,0.88,0.0,0.49,0.77,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.7299999999999995
2025-02-13,0.0,0.0,0.89,0.51,0.0,0.98,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.87
2025-02-12,0.0,0.0,0.89,0.51,0.0,0.98,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.87
2025-02-11,0.0,0.0,0.89,0.51,0.0,0.98,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.87
2025-02-10,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.89
2025-02-09,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.89
2025-02-08,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.89
2025-02-07,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.49,0.81,0.0,0.0,0.0,1.11,0.0,0.58,0.5,0.0,0.0,5.89
2025-02-06,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.11,0.0,0.68,0.5,0.0,0.0,6.0
2025-02-05,0.0,0.0,0.89,0.51,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.11,0.0,0.68,0.5,0.0,0.0,6.0
2025-02-04,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.5,0.0,0.0,5.39
2025-02-03,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.5,0.0,0.0,5.39
2025-02-02,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,4.89
2025-02-01,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.5,0.81,0.0,0.0,0.0,1.01,0.0,0.68,0.0,0.0,0.0,4.89
