,DE000WAF3001,DE000A0Z23Q5,DE0005102008,DE000A0HHJR3,DE000A35JS40,DE000A1H8BV3,DE0005419105,DE000A0DJ6J9,DE000A0D6554,DE000NCA0001,DE000A1MMCC8,DE0005493365,DE0005800601,DE0005158703,FR001400T0D6,DE0005677108,DE0005089031,DE000A0WMPJ6,DE000KSAG888,DE0005470405,Total
2025-03-02,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.42,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.35
2025-03-01,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.42,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.35
2025-02-28,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.42,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.35
2025-02-27,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.42,0.0,0.54,0.0,0.6,0.51,0.71,0.0,0.0,7.35
2025-02-26,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.42,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,6.64
2025-02-25,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,2.08,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,6.3
2025-02-24,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,5.999999999999999
2025-02-23,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,5.999999999999999
2025-02-22,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,5.999999999999999
2025-02-21,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,5.999999999999999
2025-02-20,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.51,0.0,0.0,0.0,5.999999999999999
2025-02-19,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.94,0.0,0.54,0.0,0.6,0.0,0.0,0.0,0.0,5.489999999999999
2025-02-18,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.83,0.0,0.54,0.0,0.6,0.0,0.0,0.0,0.0,5.38
2025-02-17,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.61,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
2025-02-16,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.61,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
2025-02-15,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.61,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
2025-02-14,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.61,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
2025-02-13,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.48,1.61,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,4.5600000000000005
2025-02-12,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.48,1.61,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,5.03
2025-02-11,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.48,1.61,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.88
2025-02-10,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.61,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.75
2025-02-09,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.5,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.64
2025-02-08,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.5,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.64
2025-02-07,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.5,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.64
2025-02-06,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.5,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.64
2025-02-05,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.48,1.3,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.4399999999999995
2025-02-04,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,4.1499999999999995
2025-02-03,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,3.88
2025-02-02,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,3.88
2025-02-01,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,3.88
2025-01-31,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.51,0.0,0.0,0.0,0.0,0.0,3.88
2025-01-30,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
2025-01-29,0.57,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48,1.18,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.8499999999999996
