,254900EGJIB7IR00B295,213800DTEB6NWEO6E777,549300GE4E8GIYNWBX20,5493007NNS3AR86BUB68,549300A7I33B1R3UGS67,549300SHI4D0QGWI8X45,549300RHSQCH106OWF77,213800RUT3C1PCHUQP60,-077-,5493003FS3JD468P6Z37,213800R9V4YAT2TH3762,549300G4GEZ3XA3HPV97,-085-,-066-,6BS8JLEICI3VGJ264L55,2138006AZELNYKR3A325,549300UZ0KD5HX862Y09,549300ARVD4LVNCUBN81,213800YQHG6V3VDDRN10,549300CNWH54BTXURM94,549300DCU7KOL83B3B08,549300XXZKX7UGH6E231,549300GHZ48Y72I6HZ24,549300GC5MDF1KXYMP06,MQILSVGGL6RJH5NDWP11,549300UV4DM2KIBBQ741,TNWE6LERP1CI9IDAZB80,549300A6QDHQKENHMS92,Total,Market_capitalization
2025-02-18,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
2025-02-16,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
2025-02-15,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.1899999999999995,529170000.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-11,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-10,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-09,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-08,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-07,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.359999999999999,529170000.0
2025-02-06,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.369999999999999,529170000.0
2025-02-05,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.369999999999999,529170000.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.99,1.92,0.59,0.6,0.0,0.0,0.0,0.0,0.0,6.369999999999999,529170000.0
