,<05,<1,<2,<5,>=5,GB,Market_capitalization,US,Total
2024-06-05,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-04,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-03,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-02,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-06-01,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-05-31,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-05-30,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-05-29,0,1,1,0,0,0.49,18580000000.0,0.18,0.6699999999999999
2024-05-28,0,1,1,0,0,0.49,18580000000.0,0.19,0.6799999999999999
2024-05-27,0,1,1,0,0,0.49,18580000000.0,0.19,0.6799999999999999
2024-05-26,1,0,1,0,0,0.12,18580000000.0,0.19,0.31
2024-05-25,1,0,1,0,0,0.12,18580000000.0,0.19,0.31
2024-05-24,1,0,1,0,0,0.12,18580000000.0,0.19,0.31
2024-05-23,1,0,1,0,0,0.12,18580000000.0,0.19,0.31
2024-05-22,1,0,1,0,0,0.12,18580000000.0,0.19,0.31
2024-05-21,1,0,1,0,0,0.12,18580000000.0,0.16,0.28
2024-05-20,1,0,1,0,0,0.12,18580000000.0,0.16,0.28
2024-05-19,1,0,1,0,0,0.12,18580000000.0,0.16,0.28
2024-05-18,1,0,1,0,0,0.12,18580000000.0,0.16,0.28
2024-05-17,1,0,1,0,0,0.12,18580000000.0,0.16,0.28
2024-05-16,1,1,0,0,0,0.12,18580000000.0,0.14,0.26
2024-05-15,1,1,0,0,0,0.12,18580000000.0,0.14,0.26
2024-05-14,1,1,0,0,0,0.12,18580000000.0,0.13,0.25
2024-05-13,1,1,0,0,0,0.12,18580000000.0,0.13,0.25
2024-05-12,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-11,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-10,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-09,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-08,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-07,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-06,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-05,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-04,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-03,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-02,1,0,1,0,0,0.16,18580000000.0,0.13,0.29000000000000004
2024-05-01,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-30,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-29,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-28,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-27,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-26,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-25,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-24,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-23,1,1,0,0,0,0.14,18580000000.0,0.13,0.27
2024-04-22,1,1,0,0,0,0.13,18580000000.0,0.13,0.26
2024-04-21,1,0,1,0,0,0.15,18580000000.0,0.13,0.28
2024-04-20,1,0,1,0,0,0.15,18580000000.0,0.13,0.28
2024-04-19,1,0,1,0,0,0.15,18580000000.0,0.13,0.28
2024-04-18,1,0,1,0,0,0.17,18580000000.0,0.14,0.31000000000000005
2024-04-17,1,0,1,0,0,0.17,18580000000.0,0.13,0.30000000000000004
2024-04-16,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-15,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-14,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-13,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-12,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-11,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-10,1,0,1,0,0,0.14,18580000000.0,0.13,0.27
2024-04-09,1,1,0,0,0,0.11,18580000000.0,0.13,0.24
2024-04-08,1,1,0,0,0,0.11,18580000000.0,0.13,0.24
2024-04-07,1,0,1,0,0,0.11,18580000000.0,0.15,0.26
2024-04-06,1,0,1,0,0,0.11,18580000000.0,0.15,0.26
2024-04-05,1,0,1,0,0,0.11,18580000000.0,0.15,0.26
2024-04-04,1,0,1,0,0,0.11,18580000000.0,0.15,0.26
2024-04-03,1,0,1,0,0,0.11,18580000000.0,0.15,0.26
2024-04-02,1,0,1,0,0,0.11,18580000000.0,0.18,0.29
2024-04-01,1,0,1,0,0,0.11,18580000000.0,0.18,0.29
2024-03-31,1,0,1,0,0,0.11,18400000000.0,0.17,0.28
2024-03-30,1,0,1,0,0,0.11,18400000000.0,0.17,0.28
2024-03-29,1,0,1,0,0,0.11,18400000000.0,0.17,0.28
2024-03-28,1,0,1,0,0,0.11,18400000000.0,0.17,0.28
2024-03-27,1,0,1,0,0,0.14,18400000000.0,0.17,0.31000000000000005
2024-03-26,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-25,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-24,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-23,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-22,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-21,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-20,1,0,1,0,0,0.16,18400000000.0,0.19,0.35
2024-03-19,1,0,1,0,0,0.16,18400000000.0,0.16,0.32
2024-03-18,1,0,1,0,0,0.15,18400000000.0,0.16,0.31
