,<05,<1,<2,<5,>=5,FR,GB,IE,Market_capitalization,US,Total
2024-09-26,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-25,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-24,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-23,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-22,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-21,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-20,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-19,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-18,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-17,0,1,1,0,0,0.0,1.01,0.0,3410020000.0,0.0,1.01
2024-09-16,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-15,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-14,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-13,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-12,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-11,0,1,1,0,0,0.0,0.99,0.0,3410020000.0,0.0,0.99
2024-09-10,0,1,1,0,0,0.0,0.99,0.0,3410020000.0,0.0,0.99
2024-09-09,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-08,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-07,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-06,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-05,0,1,1,0,0,0.0,1.0,0.0,3410020000.0,0.0,1.0
2024-09-04,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-03,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-02,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-09-01,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-08-31,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-08-30,0,1,1,0,0,0.0,1.02,0.0,3410020000.0,0.0,1.02
2024-08-29,0,1,1,0,0,0.0,1.04,0.0,3410020000.0,0.0,1.04
2024-08-28,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-27,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-26,0,1,1,0,0,0.0,1.04,0.0,3410020000.0,0.0,1.04
2024-08-25,0,1,1,0,0,0.0,1.04,0.0,3410020000.0,0.0,1.04
2024-08-24,0,1,1,0,0,0.0,1.04,0.0,3410020000.0,0.0,1.04
2024-08-23,0,1,1,0,0,0.0,1.04,0.0,3410020000.0,0.0,1.04
2024-08-22,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-21,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-20,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-19,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-18,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-17,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-16,0,1,1,0,0,0.0,1.05,0.0,3410020000.0,0.0,1.05
2024-08-15,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-14,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-13,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-12,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-11,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-10,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-09,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-08,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-07,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-06,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-05,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-04,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-03,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-02,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-08-01,0,1,1,0,0,0.0,1.03,0.0,3410020000.0,0.0,1.03
2024-07-31,0,1,0,1,0,0.05,1.03,0.0,3410020000.0,0.0,1.08
2024-07-30,0,1,0,1,0,0.05,1.02,0.0,3410020000.0,0.0,1.07
2024-07-29,0,1,0,1,0,0.05,1.02,0.0,3410020000.0,0.0,1.07
2024-07-28,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-27,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-26,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-25,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-24,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-23,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-22,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-21,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-20,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-19,0,1,0,1,0,0.1,1.02,0.0,3410020000.0,0.0,1.12
2024-07-18,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-17,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-16,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-15,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-14,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-13,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-12,0,1,0,1,0,0.1,1.0,0.0,3410020000.0,0.0,1.1
2024-07-11,0,1,0,1,0,0.1,0.99,0.0,3410020000.0,0.0,1.09
2024-07-10,0,1,0,1,0,0.1,0.91,0.0,3410020000.0,0.0,1.01
2024-07-09,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
2024-07-08,0,1,0,1,0,0.1,0.91,0.07,3410020000.0,0.0,1.08
