,<05,<1,<2,<5,>=5,GB,IT,JE,Market_capitalization,NL,US,Total
2024-12-07,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-06,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-05,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-04,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-03,2,0,0,1,0,0.15,0.0,0.16,9630000000.0,0.0,0.08,0.39
2024-12-02,2,0,0,1,0,0.13,0.0,0.17,9630000000.0,0.0,0.08,0.38000000000000006
2024-12-01,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.08,0.4
2024-11-30,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.08,0.4
2024-11-29,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.08,0.4
2024-11-28,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.08,0.4
2024-11-27,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.15,0.47
2024-11-26,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.15,0.47
2024-11-25,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.16,0.48
2024-11-24,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.18,0.5
2024-11-23,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.18,0.5
2024-11-22,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.18,0.5
2024-11-21,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.18,0.5
2024-11-20,2,0,0,1,0,0.15,0.0,0.17,9630000000.0,0.0,0.18,0.5
2024-11-19,2,0,0,1,0,0.15,0.0,0.18,9630000000.0,0.0,0.18,0.51
2024-11-18,2,0,0,1,0,0.15,0.0,0.18,9630000000.0,0.0,0.2,0.53
2024-11-17,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-16,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-15,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-14,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-13,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-12,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-11,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-10,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-09,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-08,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-07,1,0,1,1,0,0.15,0.75,0.18,9630000000.0,0.0,0.2,1.28
2024-11-06,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-11-05,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-11-04,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-11-03,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-11-02,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-11-01,1,0,1,1,0,0.16,0.75,0.18,9630000000.0,0.0,0.2,1.29
2024-10-31,1,0,1,1,0,0.16,0.75,0.2,9630000000.0,0.0,0.2,1.31
2024-10-30,1,0,1,1,0,0.16,0.75,0.2,9630000000.0,0.0,0.2,1.31
